id,id_curva,indicador_codigo,sexo_codigo,edad_valor,percentil_codigo,percentil,valor
242,1,BMI,M,77,P1,1.0,12.769
243,1,BMI,M,77,P3,3.0,13.193
244,1,BMI,M,77,P5,5.0,13.43
245,1,BMI,M,77,P10,10.0,13.813
246,1,BMI,M,77,P15,15.0,14.084
247,1,BMI,M,77,P25,25.0,14.506
248,1,BMI,M,77,P50,50.0,15.368
249,1,BMI,M,77,P75,75.0,16.345
250,1,BMI,M,77,P85,85.0,16.925
251,1,BMI,M,77,P90,90.0,17.343
252,1,BMI,M,77,P95,95.0,18.004
253,1,BMI,M,77,P97,97.0,18.463
254,1,BMI,M,77,P99,99.0,19.4
255,1,BMI,M,77,P999,99.9,21.263
256,1,BMI,M,78,P01,0.1,12.114
257,1,BMI,M,78,P1,1.0,12.778
258,1,BMI,M,78,P3,3.0,13.202
259,1,BMI,M,78,P5,5.0,13.439
260,1,BMI,M,78,P10,10.0,13.823
261,1,BMI,M,78,P15,15.0,14.095
262,1,BMI,M,78,P25,25.0,14.518
263,1,BMI,M,78,P50,50.0,15.382
264,1,BMI,M,78,P75,75.0,16.365
265,1,BMI,M,78,P85,85.0,16.949
266,1,BMI,M,78,P90,90.0,17.37
267,1,BMI,M,78,P95,95.0,18.038
268,1,BMI,M,78,P97,97.0,18.501
269,1,BMI,M,78,P99,99.0,19.449
270,1,BMI,M,78,P999,99.9,21.341
271,1,BMI,M,79,P01,0.1,12.124
272,1,BMI,M,79,P1,1.0,12.787
273,1,BMI,M,79,P3,3.0,13.212
274,1,BMI,M,79,P5,5.0,13.449
275,1,BMI,M,79,P10,10.0,13.833
276,1,BMI,M,79,P15,15.0,14.105
277,1,BMI,M,79,P25,25.0,14.529
278,1,BMI,M,79,P50,50.0,15.398
279,1,BMI,M,79,P75,75.0,16.386
280,1,BMI,M,79,P85,85.0,16.974
281,1,BMI,M,79,P90,90.0,17.399
282,1,BMI,M,79,P95,95.0,18.073
283,1,BMI,M,79,P97,97.0,18.541
284,1,BMI,M,79,P99,99.0,19.501
285,1,BMI,M,79,P999,99.9,21.421
286,1,BMI,M,80,P01,0.1,12.133
287,1,BMI,M,80,P1,1.0,12.797
288,1,BMI,M,80,P3,3.0,13.222
289,1,BMI,M,80,P5,5.0,13.459
290,1,BMI,M,80,P10,10.0,13.843
291,1,BMI,M,80,P15,15.0,14.117
292,1,BMI,M,80,P25,25.0,14.542
293,1,BMI,M,80,P50,50.0,15.414
294,1,BMI,M,80,P75,75.0,16.407
295,1,BMI,M,80,P85,85.0,17.0
296,1,BMI,M,80,P90,90.0,17.428
297,1,BMI,M,80,P95,95.0,18.108
298,1,BMI,M,80,P97,97.0,18.582
299,1,BMI,M,80,P99,99.0,19.553
300,1,BMI,M,80,P999,99.9,21.504
301,1,BMI,M,81,P01,0.1,12.143
302,1,BMI,M,81,P1,1.0,12.807
303,1,BMI,M,81,P3,3.0,13.232
304,1,BMI,M,81,P5,5.0,13.47
305,1,BMI,M,81,P10,10.0,13.855
306,1,BMI,M,81,P15,15.0,14.128
307,1,BMI,M,81,P25,25.0,14.555
308,1,BMI,M,81,P50,50.0,15.43
309,1,BMI,M,81,P75,75.0,16.429
310,1,BMI,M,81,P85,85.0,17.026
311,1,BMI,M,81,P90,90.0,17.458
312,1,BMI,M,81,P95,95.0,18.145
313,1,BMI,M,81,P97,97.0,18.623
314,1,BMI,M,81,P99,99.0,19.607
315,1,BMI,M,81,P999,99.9,21.588
316,1,BMI,M,82,P01,0.1,12.154
317,1,BMI,M,82,P1,1.0,12.817
318,1,BMI,M,82,P3,3.0,13.242
319,1,BMI,M,82,P5,5.0,13.481
320,1,BMI,M,82,P10,10.0,13.866
321,1,BMI,M,82,P15,15.0,14.141
322,1,BMI,M,82,P25,25.0,14.569
323,1,BMI,M,82,P50,50.0,15.447
324,1,BMI,M,82,P75,75.0,16.452
325,1,BMI,M,82,P85,85.0,17.054
326,1,BMI,M,82,P90,90.0,17.489
