indicador_codigo,sexo_codigo,meses,l,m,s,stdev,p01,p1,p3,p5,p10,p15,p25,p50,p75,p85,p90,p95,p97,p99,source
IMC_EDAD,F,131,-1.4642,17.1883,0.12713,,12.602,13.444,14.002,14.322,14.852,15.237,15.854,17.188,18.838,19.898,20.705,22.063,23.07,25.325,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,132,-1.4606,17.2459,0.12748,,12.634,13.48,14.041,14.363,14.896,15.283,15.904,17.246,18.906,19.973,20.785,22.152,23.167,25.438,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,133,-1.4567,17.3044,0.12782,,12.666,13.516,14.081,14.405,14.94,15.33,15.955,17.304,18.974,20.048,20.866,22.242,23.264,25.55,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,134,-1.4526,17.3637,0.12816,,12.699,13.554,14.122,14.447,14.986,15.378,16.006,17.364,19.044,20.125,20.948,22.333,23.361,25.664,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,135,-1.4482,17.4238,0.12849,,12.732,13.592,14.163,14.49,15.032,15.426,16.058,17.424,19.114,20.202,21.03,22.424,23.459,25.777,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,136,-1.4436,17.4847,0.12882,,12.766,13.63,14.205,14.533,15.078,15.475,16.11,17.485,19.186,20.28,21.113,22.516,23.558,25.891,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,137,-1.4389,17.5464,0.12914,,12.801,13.669,14.247,14.578,15.126,15.525,16.164,17.546,19.258,20.359,21.197,22.609,23.658,26.005,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,138,-1.4339,17.6088,0.12946,,12.835,13.709,14.29,14.623,15.174,15.575,16.218,17.609,19.331,20.439,21.282,22.703,23.758,26.12,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,139,-1.4288,17.6719,0.12978,,12.87,13.749,14.333,14.668,15.222,15.626,16.273,17.672,19.404,20.519,21.368,22.797,23.858,26.235,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,140,-1.4235,17.7357,0.13009,,12.906,13.79,14.377,14.714,15.271,15.678,16.328,17.736,19.478,20.6,21.454,22.892,23.959,26.35,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,141,-1.418,17.8001,0.1304,,12.942,13.831,14.422,14.76,15.321,15.73,16.384,17.8,19.553,20.682,21.54,22.987,24.061,26.465,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,142,-1.4123,17.8651,0.1307,,12.978,13.872,14.467,14.807,15.371,15.782,16.441,17.865,19.629,20.764,21.628,23.082,24.162,26.579,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,143,-1.4065,17.9306,0.13099,,13.015,13.914,14.512,14.855,15.422,15.836,16.498,17.931,19.705,20.846,21.715,23.178,24.264,26.694,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,144,-1.4006,17.9966,0.13129,,13.052,13.956,14.558,14.902,15.473,15.889,16.555,17.997,19.781,20.929,21.803,23.275,24.366,26.809,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,145,-1.3945,18.063,0.13158,,13.089,13.999,14.604,14.95,15.524,15.943,16.613,18.063,19.858,21.013,21.892,23.371,24.469,26.924,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,146,-1.3883,18.1297,0.13186,,13.126,14.041,14.65,14.999,15.576,15.997,16.671,18.13,19.935,21.096,21.98,23.467,24.571,27.038,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,147,-1.3819,18.1967,0.13214,,13.164,14.084,14.696,15.047,15.628,16.052,16.73,18.197,20.012,21.18,22.069,23.564,24.673,27.152,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,148,-1.3755,18.2639,0.13241,,13.201,14.127,14.743,15.096,15.68,16.106,16.788,18.264,20.09,21.264,22.157,23.66,24.775,27.265,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,149,-1.3689,18.3312,0.13268,,13.239,14.17,14.79,15.145,15.733,16.161,16.847,18.331,20.167,21.348,22.246,23.756,24.876,27.378,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,150,-1.3621,18.3986,0.13295,,13.276,14.213,14.836,15.193,15.785,16.216,16.906,18.399,20.245,21.432,22.335,23.853,24.978,27.49,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,151,-1.3553,18.466,0.13321,,13.314,14.256,14.883,15.242,15.837,16.271,16.965,18.466,20.323,21.516,22.423,23.948,25.079,27.601,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,152,-1.3483,18.5333,0.13347,,13.351,14.299,14.93,15.291,15.889,16.325,17.024,18.533,20.4,21.6,22.511,24.044,25.179,27.712,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,153,-1.3413,18.6006,0.13372,,13.389,14.342,14.976,15.34,15.942,16.38,17.082,18.601,20.477,21.683,22.599,24.139,25.279,27.821,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,154,-1.3341,18.6677,0.13397,,13.426,14.385,15.023,15.388,15.994,16.435,17.141,18.668,20.555,21.766,22.687,24.233,25.378,27.929,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,155,-1.3269,18.7346,0.13421,,13.463,14.428,15.069,15.437,16.046,16.489,17.2,18.735,20.631,21.849,22.774,24.327,25.477,28.036,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,156,-1.3195,18.8012,0.13445,,13.499,14.47,15.115,15.485,16.097,16.544,17.258,18.801,20.708,21.931,22.86,24.42,25.574,28.143,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,157,-1.3121,18.8675,0.13469,,13.536,14.512,15.161,15.533,16.149,16.598,17.316,18.868,20.784,22.013,22.946,24.513,25.671,28.248,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,158,-1.3046,18.9335,0.13492,,13.572,14.554,15.207,15.581,16.2,16.651,17.373,18.934,20.859,22.094,23.032,24.605,25.767,28.352,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,159,-1.297,18.9991,0.13514,,13.608,14.595,15.252,15.628,16.251,16.705,17.431,18.999,20.934,22.175,23.116,24.695,25.862,28.454,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,160,-1.2894,19.0642,0.13537,,13.643,14.636,15.297,15.675,16.301,16.758,17.488,19.064,21.009,22.255,23.201,24.786,25.956,28.556,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,161,-1.2816,19.1289,0.13559,,13.678,14.677,15.341,15.722,16.351,16.81,17.544,19.129,21.083,22.335,23.284,24.875,26.05,28.655,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,162,-1.2739,19.1931,0.1358,,13.713,14.718,15.386,15.768,16.401,16.862,17.6,19.193,21.156,22.413,23.367,24.963,26.141,28.753,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,163,-1.2661,19.2567,0.13601,,13.748,14.758,15.429,15.814,16.451,16.914,17.656,19.257,21.229,22.491,23.448,25.05,26.232,28.85,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,164,-1.2583,19.3197,0.13622,,13.781,14.797,15.472,15.859,16.499,16.965,17.711,19.32,21.301,22.569,23.529,25.137,26.322,28.946,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,165,-1.2504,19.382,0.13642,,13.815,14.836,15.515,15.904,16.547,17.016,17.765,19.382,21.372,22.645,23.609,25.222,26.41,29.039,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,166,-1.2425,19.4437,0.13662,,13.848,14.875,15.557,15.948,16.595,17.066,17.819,19.444,21.443,22.72,23.688,25.306,26.497,29.132,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,167,-1.2345,19.5045,0.13681,,13.88,14.913,15.599,15.992,16.642,17.115,17.872,19.504,21.512,22.795,23.765,25.388,26.583,29.222,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,168,-1.2266,19.5647,0.137,,13.912,14.95,15.64,16.035,16.688,17.164,17.925,19.565,21.581,22.868,23.842,25.47,26.667,29.311,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
