id_ingrediente,energia_kcal,agua_g,alcohol_g,proteinas_g,hidratos_carbono_g,almidon_g,azucares_sencillos_g,azucares_libres_g,fibra_vegetal_g,grasa_total_g,ags_g,agm_g,agp_g,colesterol_mg,vitamina_a_eq_retinol_ug,retinol_ug,carotenoides_eq_beta_caroteno_ug,vit_d_ug,vit_e_eq_alpha_tocoferol_mg,vit_k_ug,vitamina_b1_mg,vitamina_b2_mg,eq_niacina_mg,vit_b6_mg,eq_folato_dietetico_ug,vit_b12_ug,pantotenico_mg,biotina_ug,vit_c_mg,calcio_mg,fosforo_mg,hierro_mg,iodo_ug,cinc_mg,magnesio_mg,sodio_mg,potasio_mg,manganeso_mg,cobre_mg,selenio_ug,omega3_g,tipo_omega3,grasas_trans_g,polifenoles_mg,probioticos_billones_ufc
11,342.0,13.2,0.0,8.3,66.3,66.3,0.0,0.0,9.4,2.8,0.35,0.88,1.4,0.0,50.0,0.0,300.0,0.0,0.0,1.0,0.44,0.13,0.82,0.06,10.0,0.0,0.55,6.6,0.0,18.0,39.0,2.4,80.0,1.6,47.0,0.7,120.0,0.46,0.13,15.4,0.03,ALA,0.0,10.0,0.0
12,341.0,14.0,0.0,9.9,70.6,69.9,0.7,0.0,4.3,1.2,0.16,0.13,0.51,0.0,0.17,0.0,1.0,0.0,0.34,32.7,0.11,0.03,2.3,0.1,16.0,0.0,0.4,1.1,0.0,17.0,108.0,1.0,10.0,0.78,23.0,2.0,146.0,0.69,0.14,4.0,0.02,ALA,0.0,68.3,0.0
13,322.0,17.8,0.0,12.7,58.3,56.2,2.1,0.0,9.0,2.2,0.28,0.21,0.89,0.0,0.0,0.0,0.0,0.0,1.4,65.5,0.47,0.09,8.2,0.5,57.0,0.0,0.8,7.0,0.0,38.0,320.0,3.9,0.0,2.9,120.0,3.0,340.0,3.1,0.45,53.0,0.07,ALA,0.0,90.5,0.0
14,356.0,6.1,0.0,10.1,64.8,63.4,1.4,0.0,16.2,2.7,0.31,0.36,1.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.21,0.04,4.6,0.3,25.0,0.0,0.0,0.0,0.0,16.8,314.0,6.8,0.0,0.7,103.0,214.0,136.0,0.0,0.0,0.0,0.05,ALA,0.0,50.0,0.0
15,102.0,74.9,0.0,3.3,18.2,13.7,4.5,0.0,2.3,1.3,0.2,0.37,0.6,0.0,13.0,0.0,0.0,0.0,0.45,1.0,0.04,0.08,1.8,0.09,33.0,0.0,0.88,0.0,1.0,3.0,69.0,0.6,1.0,0.3,22.0,288.0,200.0,0.19,0.053,0.8,0.02,ALA,0.0,15.0,0.0
16,346.0,13.7,0.0,8.6,64.7,58.5,6.2,0.0,9.2,3.8,0.57,1.0,1.5,0.0,21.4,0.0,129.0,0.0,1.1,1.0,0.36,0.2,1.5,0.4,26.0,0.0,0.65,0.0,0.0,7.0,256.0,2.4,2.0,1.7,93.0,6.0,330.0,0.46,0.23,15.4,0.02,ALA,0.0,20.0,0.0
17,110.0,72.3,0.0,3.4,18.6,14.0,4.5,0.0,4.2,1.5,0.2,0.4,0.6,0.0,26.3,0.0,158.0,0.0,0.7,1.0,0.22,0.07,2.0,0.1,31.0,0.0,0.37,0.0,7.0,3.0,103.0,0.6,1.0,0.3,33.0,17.0,251.0,0.14,0.046,0.7,0.02,ALA,0.0,18.0,0.0
18,354.0,13.3,0.0,14.1,57.2,52.2,5.0,0.0,7.0,6.1,0.71,1.6,3.3,0.0,1.4,0.0,8.5,0.0,2.9,0.0,0.36,0.32,1.5,0.49,184.0,0.0,0.0,0.0,0.0,0.33,457.0,4.6,0.0,3.1,197.0,5.0,563.0,2.0,0.59,8.5,0.26,ALA,0.0,45.0,0.0
19,351.0,10.1,0.0,12.7,69.0,68.7,0.32,0.0,7.2,1.1,0.15,0.12,0.43,0.0,0.0,0.0,0.0,0.0,0.26,98.2,0.28,0.08,6.0,0.1,72.0,0.0,0.58,0.0,0.0,17.0,136.0,1.2,5.1,1.1,47.0,1.0,186.0,0.62,0.19,2.5,0.02,ALA,0.0,12.0,0.0
20,544.0,8.4,0.0,7.4,41.3,39.4,1.9,0.0,1.5,38.5,5.5,8.3,22.2,1.0,0.0,0.0,0.0,1.0,2.4,14.4,0.32,0.25,5.2,0.019,47.0,0.0,0.0,0.0,0.0,10.0,60.0,2.6,17.2,0.54,16.0,253.0,62.0,0.49,0.11,24.5,0.05,ALA,2.8,5.0,0.0
