ref_code,sexo,edad_meses,edad_dias,medida_cm,l,m,s,stdev,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4,source_file
WFL,M,,,56.9,-0.3521,5.0966,0.08486,,,3.666,3.994,4.322,4.688,5.097,5.555,6.071,6.655,7.238,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,57,-0.3521,5.1259,0.08481,,,3.687,4.017,4.347,4.715,5.126,5.587,6.106,6.692,7.278,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,57.1,-0.3521,5.1551,0.08475,,,3.709,4.041,4.373,4.742,5.155,5.618,6.14,6.728,7.317,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,57.2,-0.3521,5.1844,0.0847,,,3.731,4.064,4.398,4.769,5.184,5.65,6.174,6.766,7.357,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,57.3,-0.3521,5.2137,0.08465,,,3.753,4.088,4.423,4.796,5.214,5.682,6.208,6.803,7.397,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,57.4,-0.3521,5.2429,0.0846,,,3.775,4.111,4.448,4.824,5.243,5.713,6.242,6.84,7.437,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,57.5,-0.3521,5.2721,0.08455,,,3.796,4.135,4.474,4.851,5.272,5.745,6.276,6.877,7.477,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,57.6,-0.3521,5.3014,0.08449,,,3.818,4.159,4.499,4.878,5.301,5.776,6.31,6.913,7.517,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,57.7,-0.3521,5.3306,0.08444,,,3.84,4.182,4.524,4.905,5.331,5.808,6.344,6.95,7.556,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,57.8,-0.3521,5.3598,0.08439,,,3.862,4.206,4.549,4.932,5.36,5.839,6.378,6.987,7.596,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,57.9,-0.3521,5.3889,0.08434,,,3.884,4.229,4.574,4.959,5.389,5.871,6.412,7.024,7.636,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,58,-0.3521,5.418,0.0843,,,3.905,4.252,4.599,4.986,5.418,5.902,6.447,7.061,7.676,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,58.1,-0.3521,5.4471,0.08425,,,3.927,4.276,4.625,5.013,5.447,5.933,6.48,7.098,7.715,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,58.2,-0.3521,5.4762,0.0842,,,3.949,4.299,4.65,5.04,5.476,5.965,6.514,7.135,7.755,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,58.3,-0.3521,5.5053,0.08415,,,3.97,4.323,4.675,5.067,5.505,5.996,6.548,7.171,7.794,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,58.4,-0.3521,5.5343,0.0841,,,3.992,4.346,4.7,5.094,5.534,6.028,6.582,7.208,7.834,wfl-boys-zscore-expanded-table.xlsx
