id,punto_id,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4,fuente_archivo
116,116,,12.172000,13.325000,14.479000,15.738000,17.114000,18.618000,20.262000,22.060000,23.858000,bfa-boys-zscore-expanded-tables.xlsx
117,117,,12.180000,13.333000,14.486000,15.746000,17.121000,18.625000,20.269000,22.068000,23.866000,bfa-boys-zscore-expanded-tables.xlsx
118,118,,12.188000,13.341000,14.493000,15.752000,17.128000,18.632000,20.276000,22.076000,23.876000,bfa-boys-zscore-expanded-tables.xlsx
119,119,,12.196000,13.348000,14.500000,15.759000,17.134000,18.638000,20.284000,22.084000,23.885000,bfa-boys-zscore-expanded-tables.xlsx
120,120,,12.204000,13.356000,14.507000,15.766000,17.141000,18.645000,20.290000,22.092000,23.893000,bfa-boys-zscore-expanded-tables.xlsx
121,121,,12.211000,13.363000,14.514000,15.772000,17.147000,18.651000,20.297000,22.099000,23.902000,bfa-boys-zscore-expanded-tables.xlsx
122,122,,12.219000,13.369000,14.520000,15.778000,17.153000,18.658000,20.304000,22.107000,23.910000,bfa-boys-zscore-expanded-tables.xlsx
123,123,,12.226000,13.376000,14.527000,15.784000,17.159000,18.664000,20.311000,22.114000,23.918000,bfa-boys-zscore-expanded-tables.xlsx
124,124,,12.233000,13.383000,14.533000,15.790000,17.165000,18.670000,20.317000,22.122000,23.926000,bfa-boys-zscore-expanded-tables.xlsx
125,125,,12.241000,13.390000,14.540000,15.797000,17.171000,18.676000,20.323000,22.128000,23.933000,bfa-boys-zscore-expanded-tables.xlsx
126,126,,12.248000,13.397000,14.546000,15.802000,17.177000,18.681000,20.329000,22.135000,23.941000,bfa-boys-zscore-expanded-tables.xlsx
127,127,,12.255000,13.403000,14.552000,15.808000,17.182000,18.687000,20.335000,22.142000,23.949000,bfa-boys-zscore-expanded-tables.xlsx
128,128,,12.261000,13.410000,14.558000,15.814000,17.188000,18.693000,20.341000,22.149000,23.956000,bfa-boys-zscore-expanded-tables.xlsx
129,129,,12.268000,13.416000,14.564000,15.819000,17.193000,18.698000,20.347000,22.155000,23.963000,bfa-boys-zscore-expanded-tables.xlsx
130,130,,12.275000,13.422000,14.570000,15.825000,17.199000,18.703000,20.353000,22.161000,23.970000,bfa-boys-zscore-expanded-tables.xlsx
131,131,,12.281000,13.428000,14.575000,15.830000,17.204000,18.709000,20.358000,22.168000,23.978000,bfa-boys-zscore-expanded-tables.xlsx
132,132,,12.287000,13.434000,14.581000,15.835000,17.209000,18.714000,20.364000,22.174000,23.985000,bfa-boys-zscore-expanded-tables.xlsx
133,133,,12.294000,13.440000,14.586000,15.840000,17.214000,18.719000,20.369000,22.180000,23.991000,bfa-boys-zscore-expanded-tables.xlsx
134,134,,12.300000,13.446000,14.592000,15.845000,17.219000,18.724000,20.374000,22.186000,23.998000,bfa-boys-zscore-expanded-tables.xlsx
135,135,,12.306000,13.451000,14.597000,15.850000,17.223000,18.728000,20.379000,22.192000,24.004000,bfa-boys-zscore-expanded-tables.xlsx
136,136,,12.312000,13.457000,14.602000,15.855000,17.228000,18.733000,20.385000,22.198000,24.011000,bfa-boys-zscore-expanded-tables.xlsx
137,137,,12.318000,13.462000,14.607000,15.860000,17.233000,18.738000,20.389000,22.203000,24.017000,bfa-boys-zscore-expanded-tables.xlsx
138,138,,12.324000,13.468000,14.612000,15.865000,17.237000,18.742000,20.394000,22.208000,24.023000,bfa-boys-zscore-expanded-tables.xlsx
139,139,,12.329000,13.473000,14.617000,15.869000,17.241000,18.747000,20.399000,22.214000,24.029000,bfa-boys-zscore-expanded-tables.xlsx
140,140,,12.335000,13.478000,14.621000,15.873000,17.246000,18.751000,20.403000,22.219000,24.035000,bfa-boys-zscore-expanded-tables.xlsx
141,141,,12.341000,13.483000,14.626000,15.878000,17.250000,18.755000,20.407000,22.224000,24.040000,bfa-boys-zscore-expanded-tables.xlsx
142,142,,12.346000,13.488000,14.631000,15.882000,17.254000,18.759000,20.412000,22.229000,24.046000,bfa-boys-zscore-expanded-tables.xlsx
143,143,,12.351000,13.493000,14.635000,15.886000,17.258000,18.763000,20.416000,22.233000,24.051000,bfa-boys-zscore-expanded-tables.xlsx
144,144,,12.356000,13.498000,14.639000,15.890000,17.262000,18.767000,20.420000,22.238000,24.057000,bfa-boys-zscore-expanded-tables.xlsx
145,145,,12.362000,13.503000,14.644000,15.894000,17.265000,18.770000,20.424000,22.243000,24.061000,bfa-boys-zscore-expanded-tables.xlsx
