id,punto_id,fuente_archivo,p01,p1,p3,p5,p10,p15,p25,p50,p75,p85,p90,p95,p97,p99,p999
112,112,bfa-boys-percentiles-expanded-tables.xlsx,13.194000,14.060000,14.593000,14.884000,15.343000,15.661000,16.144000,17.086000,18.085000,18.646000,19.036000,19.631000,20.027000,20.799000,22.195000
113,113,bfa-boys-percentiles-expanded-tables.xlsx,13.202000,14.069000,14.601000,14.892000,15.351000,15.669000,16.152000,17.093000,18.092000,18.654000,19.044000,19.639000,20.035000,20.807000,22.204000
114,114,bfa-boys-percentiles-expanded-tables.xlsx,13.210000,14.076000,14.608000,14.899000,15.358000,15.676000,16.159000,17.100000,18.100000,18.661000,19.052000,19.646000,20.043000,20.815000,22.213000
115,115,bfa-boys-percentiles-expanded-tables.xlsx,13.218000,14.084000,14.616000,14.906000,15.365000,15.684000,16.166000,17.107000,18.107000,18.668000,19.059000,19.654000,20.050000,20.823000,22.221000
116,116,bfa-boys-percentiles-expanded-tables.xlsx,13.226000,14.091000,14.623000,14.914000,15.373000,15.691000,16.173000,17.114000,18.114000,18.675000,19.066000,19.661000,20.058000,20.831000,22.230000
117,117,bfa-boys-percentiles-expanded-tables.xlsx,13.234000,14.099000,14.631000,14.921000,15.380000,15.698000,16.180000,17.121000,18.121000,18.682000,19.073000,19.668000,20.065000,20.838000,22.238000
118,118,bfa-boys-percentiles-expanded-tables.xlsx,13.242000,14.106000,14.638000,14.928000,15.386000,15.704000,16.187000,17.128000,18.127000,18.689000,19.080000,19.675000,20.073000,20.846000,22.247000
119,119,bfa-boys-percentiles-expanded-tables.xlsx,13.249000,14.113000,14.644000,14.934000,15.393000,15.711000,16.193000,17.134000,18.134000,18.696000,19.087000,19.682000,20.080000,20.853000,22.255000
120,120,bfa-boys-percentiles-expanded-tables.xlsx,13.256000,14.120000,14.652000,14.941000,15.400000,15.718000,16.200000,17.141000,18.140000,18.702000,19.093000,19.689000,20.086000,20.860000,22.262000
121,121,bfa-boys-percentiles-expanded-tables.xlsx,13.264000,14.127000,14.658000,14.948000,15.406000,15.724000,16.206000,17.147000,18.147000,18.709000,19.100000,19.696000,20.093000,20.867000,22.270000
122,122,bfa-boys-percentiles-expanded-tables.xlsx,13.271000,14.134000,14.665000,14.954000,15.413000,15.730000,16.212000,17.153000,18.153000,18.715000,19.106000,19.702000,20.100000,20.874000,22.278000
123,123,bfa-boys-percentiles-expanded-tables.xlsx,13.277000,14.140000,14.671000,14.961000,15.419000,15.737000,16.219000,17.159000,18.159000,18.721000,19.112000,19.709000,20.106000,20.881000,22.285000
124,124,bfa-boys-percentiles-expanded-tables.xlsx,13.284000,14.147000,14.677000,14.967000,15.425000,15.743000,16.224000,17.165000,18.165000,18.727000,19.119000,19.715000,20.113000,20.888000,22.293000
125,125,bfa-boys-percentiles-expanded-tables.xlsx,13.291000,14.153000,14.684000,14.973000,15.431000,15.749000,16.231000,17.171000,18.171000,18.733000,19.124000,19.721000,20.119000,20.894000,22.299000
126,126,bfa-boys-percentiles-expanded-tables.xlsx,13.298000,14.160000,14.690000,14.979000,15.437000,15.755000,16.236000,17.177000,18.177000,18.739000,19.130000,19.727000,20.125000,20.900000,22.306000
127,127,bfa-boys-percentiles-expanded-tables.xlsx,13.305000,14.166000,14.696000,14.985000,15.443000,15.760000,16.242000,17.183000,18.182000,18.744000,19.136000,19.733000,20.131000,20.907000,22.313000
128,128,bfa-boys-percentiles-expanded-tables.xlsx,13.311000,14.172000,14.702000,14.991000,15.449000,15.766000,16.248000,17.188000,18.188000,18.750000,19.142000,19.738000,20.137000,20.913000,22.320000
129,129,bfa-boys-percentiles-expanded-tables.xlsx,13.317000,14.178000,14.708000,14.997000,15.454000,15.772000,16.253000,17.193000,18.193000,18.756000,19.147000,19.744000,20.142000,20.919000,22.327000
130,130,bfa-boys-percentiles-expanded-tables.xlsx,13.324000,14.184000,14.713000,15.003000,15.460000,15.777000,16.258000,17.199000,18.198000,18.761000,19.153000,19.749000,20.148000,20.925000,22.333000
131,131,bfa-boys-percentiles-expanded-tables.xlsx,13.329000,14.189000,14.719000,15.008000,15.465000,15.782000,16.264000,17.204000,18.204000,18.766000,19.158000,19.755000,20.154000,20.931000,22.340000
132,132,bfa-boys-percentiles-expanded-tables.xlsx,13.335000,14.195000,14.724000,15.013000,15.471000,15.788000,16.269000,17.209000,18.209000,18.771000,19.163000,19.760000,20.159000,20.936000,22.346000
133,133,bfa-boys-percentiles-expanded-tables.xlsx,13.341000,14.201000,14.730000,15.019000,15.476000,15.793000,16.274000,17.214000,18.214000,18.776000,19.168000,19.765000,20.164000,20.942000,22.352000
