id,curva_id,indicador_codigo,sexo_codigo,edad_meses,l,m,s,stdev,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4
122,2,BMI,F,60,-0.568400,15.274700,0.097890,,,,11.600,12.700,13.900,15.300,16.900,18.800,21.100,
123,3,HFA,M,0,1.000000,49.884200,0.037950,,,,44.200,46.100,48.000,49.900,51.800,53.700,55.600,
124,3,HFA,M,1,1.000000,54.724400,0.035570,,,,48.900,50.800,52.800,54.700,56.700,58.600,60.600,
125,3,HFA,M,2,1.000000,58.424900,0.034240,,,,52.400,54.400,56.400,58.400,60.400,62.400,64.400,
126,3,HFA,M,3,1.000000,61.429200,0.033280,,,,55.300,57.300,59.400,61.400,63.500,65.500,67.600,
127,3,HFA,M,4,1.000000,63.886000,0.032570,,,,57.600,59.700,61.800,63.900,66.000,68.000,70.100,
128,3,HFA,M,5,1.000000,65.902600,0.032040,,,,59.600,61.700,63.800,65.900,68.000,70.100,72.200,
129,3,HFA,M,6,1.000000,67.623600,0.031650,,,,61.200,63.300,65.500,67.600,69.800,71.900,74.000,
130,3,HFA,M,7,1.000000,69.164500,0.031390,,,,62.700,64.800,67.000,69.200,71.300,73.500,75.700,
131,3,HFA,M,8,1.000000,70.599400,0.031240,,,,64.000,66.200,68.400,70.600,72.800,75.000,77.200,
132,3,HFA,M,9,1.000000,71.968700,0.031170,,,,65.200,67.500,69.700,72.000,74.200,76.500,78.700,
133,3,HFA,M,10,1.000000,73.281200,0.031180,,,,66.400,68.700,71.000,73.300,75.600,77.900,80.100,
134,3,HFA,M,11,1.000000,74.538800,0.031250,,,,67.600,69.900,72.200,74.500,76.900,79.200,81.500,
135,3,HFA,M,12,1.000000,75.748800,0.031370,,,,68.600,71.000,73.400,75.700,78.100,80.500,82.900,
136,3,HFA,M,13,1.000000,76.918600,0.031540,,,,69.600,72.100,74.500,76.900,79.300,81.800,84.200,
137,3,HFA,M,14,1.000000,78.049700,0.031740,,,,70.600,73.100,75.600,78.000,80.500,83.000,85.500,
138,3,HFA,M,15,1.000000,79.145800,0.031970,,,,71.600,74.100,76.600,79.100,81.700,84.200,86.700,
139,3,HFA,M,16,1.000000,80.211300,0.032220,,,,72.500,75.000,77.600,80.200,82.800,85.400,88.000,
140,3,HFA,M,17,1.000000,81.248700,0.032500,,,,73.300,76.000,78.600,81.200,83.900,86.500,89.200,
141,3,HFA,M,18,1.000000,82.258700,0.032790,,,,74.200,76.900,79.600,82.300,85.000,87.700,90.400,
142,3,HFA,M,19,1.000000,83.241800,0.033100,,,,75.000,77.700,80.500,83.200,86.000,88.800,91.500,
143,3,HFA,M,20,1.000000,84.199600,0.033420,,,,75.800,78.600,81.400,84.200,87.000,89.800,92.600,
144,3,HFA,M,21,1.000000,85.134800,0.033760,,,,76.500,79.400,82.300,85.100,88.000,90.900,93.800,
145,3,HFA,M,22,1.000000,86.047700,0.034100,,,,77.200,80.200,83.100,86.000,89.000,91.900,94.900,
146,3,HFA,M,23,1.000000,86.941000,0.034450,,,,78.000,81.000,83.900,86.900,89.900,92.900,95.900,
147,3,HFA,M,24,1.000000,87.116100,0.035070,,,,78.000,81.000,84.100,87.100,90.200,93.200,96.300,
148,3,HFA,M,25,1.000000,87.972000,0.035420,,,,78.600,81.700,84.900,88.000,91.100,94.200,97.300,
149,3,HFA,M,26,1.000000,88.806500,0.035760,,,,79.300,82.500,85.600,88.800,92.000,95.200,98.300,
150,3,HFA,M,27,1.000000,89.619700,0.036100,,,,79.900,83.100,86.400,89.600,92.900,96.100,99.300,
151,3,HFA,M,28,1.000000,90.412000,0.036420,,,,80.500,83.800,87.100,90.400,93.700,97.000,100.300,
152,3,HFA,M,29,1.000000,91.182800,0.036740,,,,81.100,84.500,87.800,91.200,94.500,97.900,101.200,
153,3,HFA,M,30,1.000000,91.932700,0.037040,,,,81.700,85.100,88.500,91.900,95.300,98.700,102.100,
154,3,HFA,M,31,1.000000,92.663100,0.037330,,,,82.300,85.700,89.200,92.700,96.100,99.600,103.000,
155,3,HFA,M,32,1.000000,93.375300,0.037610,,,,82.800,86.400,89.900,93.400,96.900,100.400,103.900,
156,3,HFA,M,33,1.000000,94.071100,0.037870,,,,83.400,86.900,90.500,94.100,97.600,101.200,104.800,
157,3,HFA,M,34,1.000000,94.753200,0.038120,,,,83.900,87.500,91.100,94.800,98.400,102.000,105.600,
158,3,HFA,M,35,1.000000,95.423600,0.038360,,,,84.400,88.100,91.800,95.400,99.100,102.700,106.400,
159,3,HFA,M,36,1.000000,96.083500,0.038580,,,,85.000,88.700,92.400,96.100,99.800,103.500,107.200,
160,3,HFA,M,37,1.000000,96.733700,0.038790,,,,85.500,89.200,93.000,96.700,100.500,104.200,108.000,
161,3,HFA,M,38,1.000000,97.374900,0.039000,,,,86.000,89.800,93.600,97.400,101.200,105.000,108.800,
162,3,HFA,M,39,1.000000,98.007300,0.039190,,,,86.500,90.300,94.200,98.000,101.800,105.700,109.500,
163,3,HFA,M,40,1.000000,98.631000,0.039370,,,,87.000,90.900,94.700,98.600,102.500,106.400,110.300,
164,3,HFA,M,41,1.000000,99.245900,0.039540,,,,87.500,91.400,95.300,99.200,103.200,107.100,111.000,
165,3,HFA,M,42,1.000000,99.851500,0.039710,,,,88.000,91.900,95.900,99.900,103.800,107.800,111.700,
166,3,HFA,M,43,1.000000,100.448500,0.039860,,,,88.400,92.400,96.400,100.400,104.500,108.500,112.500,
167,3,HFA,M,44,1.000000,101.037400,0.040020,,,,88.900,93.000,97.000,101.000,105.100,109.100,113.200,
168,3,HFA,M,45,1.000000,101.618600,0.040160,,,,89.400,93.500,97.500,101.600,105.700,109.800,113.900,
169,3,HFA,M,46,1.000000,102.193300,0.040310,,,,89.800,94.000,98.100,102.200,106.300,110.400,114.600,
170,3,HFA,M,47,1.000000,102.762500,0.040450,,,,90.300,94.400,98.600,102.800,106.900,111.100,115.200,
171,3,HFA,M,48,1.000000,103.327300,0.040590,,,,90.700,94.900,99.100,103.300,107.500,111.700,115.900,
172,3,HFA,M,49,1.000000,103.888600,0.040730,,,,91.200,95.400,99.700,103.900,108.100,112.400,116.600,
173,3,HFA,M,50,1.000000,104.447300,0.040860,,,,91.600,95.900,100.200,104.400,108.700,113.000,117.300,
174,3,HFA,M,51,1.000000,105.004100,0.041000,,,,92.100,96.400,100.700,105.000,109.300,113.600,117.900,
175,3,HFA,M,52,1.000000,105.559600,0.041130,,,,92.500,96.900,101.200,105.600,109.900,114.200,118.600,
176,3,HFA,M,53,1.000000,106.113800,0.041260,,,,93.000,97.400,101.700,106.100,110.500,114.900,119.200,
177,3,HFA,M,54,1.000000,106.666800,0.041390,,,,93.400,97.800,102.300,106.700,111.100,115.500,119.900,
178,3,HFA,M,55,1.000000,107.218800,0.041520,,,,93.900,98.300,102.800,107.200,111.700,116.100,120.600,
179,3,HFA,M,56,1.000000,107.769700,0.041650,,,,94.300,98.800,103.300,107.800,112.300,116.700,121.200,
180,3,HFA,M,57,1.000000,108.319800,0.041770,,,,94.700,99.300,103.800,108.300,112.800,117.400,121.900,
181,3,HFA,M,58,1.000000,108.868900,0.041900,,,,95.200,99.700,104.300,108.900,113.400,118.000,122.600,
182,3,HFA,M,59,1.000000,109.417000,0.042020,,,,95.600,100.200,104.800,109.400,114.000,118.600,123.200,
183,3,HFA,M,60,1.000000,109.963800,0.042140,,,,96.100,100.700,105.300,110.000,114.600,119.200,123.900,
184,4,HFA,F,0,1.000000,49.147700,0.037900,,,,43.600,45.400,47.300,49.100,51.000,52.900,54.700,
185,4,HFA,F,1,1.000000,53.687200,0.036400,,,,47.800,49.800,51.700,53.700,55.600,57.600,59.500,
186,4,HFA,F,2,1.000000,57.067300,0.035680,,,,51.000,53.000,55.000,57.100,59.100,61.100,63.200,
187,4,HFA,F,3,1.000000,59.802900,0.035200,,,,53.500,55.600,57.700,59.800,61.900,64.000,66.100,
188,4,HFA,F,4,1.000000,62.089900,0.034860,,,,55.600,57.800,59.900,62.100,64.300,66.400,68.600,
189,4,HFA,F,5,1.000000,64.030100,0.034630,,,,57.400,59.600,61.800,64.000,66.200,68.500,70.700,
190,4,HFA,F,6,1.000000,65.731100,0.034480,,,,58.900,61.200,63.500,65.700,68.000,70.300,72.500,
191,4,HFA,F,7,1.000000,67.287300,0.034410,,,,60.300,62.700,65.000,67.300,69.600,71.900,74.200,
192,4,HFA,F,8,1.000000,68.749800,0.034400,,,,61.700,64.000,66.400,68.700,71.100,73.500,75.800,
193,4,HFA,F,9,1.000000,70.143500,0.034440,,,,62.900,65.300,67.700,70.100,72.600,75.000,77.400,
194,4,HFA,F,10,1.000000,71.481800,0.034520,,,,64.100,66.500,69.000,71.500,73.900,76.400,78.900,
195,4,HFA,F,11,1.000000,72.771000,0.034640,,,,65.200,67.700,70.300,72.800,75.300,77.800,80.300,
196,4,HFA,F,12,1.000000,74.015000,0.034790,,,,66.300,68.900,71.400,74.000,76.600,79.200,81.700,
197,4,HFA,F,13,1.000000,75.217600,0.034960,,,,67.300,70.000,72.600,75.200,77.800,80.500,83.100,
198,4,HFA,F,14,1.000000,76.381700,0.035140,,,,68.300,71.000,73.700,76.400,79.100,81.700,84.400,
199,4,HFA,F,15,1.000000,77.509900,0.035340,,,,69.300,72.000,74.800,77.500,80.200,83.000,85.700,
200,4,HFA,F,16,1.000000,78.605500,0.035550,,,,70.200,73.000,75.800,78.600,81.400,84.200,87.000,
201,4,HFA,F,17,1.000000,79.671000,0.035760,,,,71.100,74.000,76.800,79.700,82.500,85.400,88.200,
202,4,HFA,F,18,1.000000,80.707900,0.035980,,,,72.000,74.900,77.800,80.700,83.600,86.500,89.400,
203,4,HFA,F,19,1.000000,81.718200,0.036200,,,,72.800,75.800,78.800,81.700,84.700,87.600,90.600,
204,4,HFA,F,20,1.000000,82.703600,0.036430,,,,73.700,76.700,79.700,82.700,85.700,88.700,91.700,
205,4,HFA,F,21,1.000000,83.665400,0.036660,,,,74.500,77.500,80.600,83.700,86.700,89.800,92.900,
206,4,HFA,F,22,1.000000,84.604000,0.036880,,,,75.200,78.400,81.500,84.600,87.700,90.800,94.000,
207,4,HFA,F,23,1.000000,85.520200,0.037110,,,,76.000,79.200,82.300,85.500,88.700,91.900,95.000,
208,4,HFA,F,24,1.000000,85.715300,0.037640,,,,76.000,79.300,82.500,85.700,88.900,92.200,95.400,
209,4,HFA,F,25,1.000000,86.590400,0.037860,,,,76.800,80.000,83.300,86.600,89.900,93.100,96.400,
210,4,HFA,F,26,1.000000,87.446200,0.038080,,,,77.500,80.800,84.100,87.400,90.800,94.100,97.400,
211,4,HFA,F,27,1.000000,88.283000,0.038300,,,,78.100,81.500,84.900,88.300,91.700,95.000,98.400,
212,4,HFA,F,28,1.000000,89.100400,0.038510,,,,78.800,82.200,85.700,89.100,92.500,96.000,99.400,
213,4,HFA,F,29,1.000000,89.899100,0.038720,,,,79.500,82.900,86.400,89.900,93.400,96.900,100.300,
214,4,HFA,F,30,1.000000,90.679700,0.038930,,,,80.100,83.600,87.100,90.700,94.200,97.700,101.300,
215,4,HFA,F,31,1.000000,91.443000,0.039130,,,,80.700,84.300,87.900,91.400,95.000,98.600,102.200,
216,4,HFA,F,32,1.000000,92.190600,0.039330,,,,81.300,84.900,88.600,92.200,95.800,99.400,103.100,
217,4,HFA,F,33,1.000000,92.923900,0.039520,,,,81.900,85.600,89.300,92.900,96.600,100.300,103.900,
218,4,HFA,F,34,1.000000,93.644400,0.039710,,,,82.500,86.200,89.900,93.600,97.400,101.100,104.800,
219,4,HFA,F,35,1.000000,94.353300,0.039890,,,,83.100,86.800,90.600,94.400,98.100,101.900,105.600,
220,4,HFA,F,36,1.000000,95.051500,0.040060,,,,83.600,87.400,91.200,95.100,98.900,102.700,106.500,
221,4,HFA,F,37,1.000000,95.739900,0.040240,,,,84.200,88.000,91.900,95.700,99.600,103.400,107.300,
222,4,HFA,F,38,1.000000,96.418700,0.040410,,,,84.700,88.600,92.500,96.400,100.300,104.200,108.100,
223,4,HFA,F,39,1.000000,97.088500,0.040570,,,,85.300,89.200,93.100,97.100,101.000,105.000,108.900,
224,4,HFA,F,40,1.000000,97.749300,0.040730,,,,85.800,89.800,93.800,97.700,101.700,105.700,109.700,
225,4,HFA,F,41,1.000000,98.401500,0.040890,,,,86.300,90.400,94.400,98.400,102.400,106.400,110.500,
226,4,HFA,F,42,1.000000,99.044800,0.041050,,,,86.800,90.900,95.000,99.000,103.100,107.200,111.200,
227,4,HFA,F,43,1.000000,99.679500,0.041200,,,,87.400,91.500,95.600,99.700,103.800,107.900,112.000,
228,4,HFA,F,44,1.000000,100.305800,0.041350,,,,87.900,92.000,96.200,100.300,104.500,108.600,112.700,
229,4,HFA,F,45,1.000000,100.923800,0.041500,,,,88.400,92.500,96.700,100.900,105.100,109.300,113.500,
