id_ingrediente,energia_kcal,agua_g,alcohol_g,proteinas_g,hidratos_carbono_g,almidon_g,azucares_sencillos_g,azucares_libres_g,fibra_vegetal_g,grasa_total_g,ags_g,agm_g,agp_g,colesterol_mg,vitamina_a_eq_retinol_ug,retinol_ug,carotenoides_eq_beta_caroteno_ug,vit_d_ug,vit_e_eq_alpha_tocoferol_mg,vit_k_ug,vitamina_b1_mg,vitamina_b2_mg,eq_niacina_mg,vit_b6_mg,eq_folato_dietetico_ug,vit_b12_ug,pantotenico_mg,biotina_ug,vit_c_mg,calcio_mg,fosforo_mg,hierro_mg,iodo_ug,cinc_mg,magnesio_mg,sodio_mg,potasio_mg,manganeso_mg,cobre_mg,selenio_ug,omega3_g,tipo_omega3,grasas_trans_g,polifenoles_mg,probioticos_billones_ufc
156,384.000,45.100,0.000,4.600,4.80000000,0.00000000,4.800,0.000,9.000,36.500,31.800,2.200,0.680,0.000,0.000,0.000,0.00000000,0.000,0.730,0.200,0.061,0.008,1.200,0.060,30.000,0.000,0.200,0.000,2.000,20.000,94.000,2.300,1.200,0.790,39.000,35.000,379.000,1.300,0.440,10.100,0.000,0,0.000,15.000,0.000
157,36.900,88.800,0.000,1.300,4.90000000,0.00000000,4.900,0.000,4.700,0.300,0.010,0.030,0.200,0.000,3.800,0.000,22.50000000,0.000,0.910,10.000,0.023,0.050,0.780,0.060,30.000,0.000,0.300,1.900,25.000,40.000,44.000,1.000,3.000,0.360,30.000,1.300,200.000,0.380,0.093,1.300,0.120,ALA,0.000,280.000,0.000
159,77.200,80.400,0.000,0.690,16.10000000,0.00000000,16.100,0.000,2.300,0.600,0.076,0.090,0.130,0.000,6.700,0.000,40.00000000,0.000,0.550,4.600,0.050,0.020,0.300,0.200,29.000,0.000,0.600,0.000,7.000,8.000,17.000,0.500,0.000,0.230,3.000,2.500,238.000,0.130,0.120,0.600,0.010,ALA,0.000,250.000,0.000
415,898.000,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,0.000,99.800,9.300,17.100,69.000,0.000,0.000,0.000,0.00000000,0.000,10.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,ALA,0.000,0.000,0.000
160,45.200,85.600,0.000,1.300,6.10000000,0.00000000,6.100,0.000,6.800,0.220,0.026,0.025,0.110,0.000,13.500,0.000,81.00000000,0.000,1.900,30.000,0.051,0.044,0.400,0.080,8.800,0.000,0.400,2.400,177.000,46.000,40.000,1.300,1.000,0.250,17.000,1.700,303.000,0.350,0.100,1.700,0.040,ALA,0.000,350.000,0.000
161,32.400,90.400,0.000,1.100,4.80000000,0.00000000,4.800,0.000,3.500,0.200,0.039,0.029,0.073,0.000,4.200,0.000,25.00000000,0.000,0.720,11.000,0.040,0.030,0.300,0.045,11.000,0.000,0.060,2.600,36.000,29.000,27.000,0.910,1.000,0.240,13.000,1.600,257.000,0.240,0.140,1.300,0.040,ALA,0.000,300.000,0.000
162,41.600,87.600,0.000,0.880,5.80000000,0.00000000,5.800,0.000,5.200,0.500,0.140,0.045,0.210,0.000,122.000,0.000,733.00000000,0.000,1.100,2.600,0.030,0.040,1.100,0.140,14.000,0.000,0.150,0.000,273.000,17.000,31.000,0.750,0.000,0.560,13.000,4.000,290.000,0.100,0.100,0.500,0.110,ALA,0.000,126.400,0.000
163,65.300,83.300,0.000,1.300,12.90000000,0.00000000,12.900,0.000,2.000,0.500,0.089,0.098,0.210,0.000,8.000,0.000,48.00000000,0.000,0.890,4.700,0.046,0.050,0.640,0.110,6.700,0.000,0.300,0.000,2.700,54.000,32.000,0.600,1.500,0.240,20.000,1.300,248.000,0.043,0.081,1.600,0.000,0,0.000,85.000,0.000
164,51.800,87.000,0.000,1.000,9.10000000,0.00000000,9.100,0.000,2.100,0.800,0.100,0.100,0.400,0.000,6.200,0.000,37.30000000,0.000,0.930,3.300,0.020,0.040,0.600,0.120,26.800,0.000,0.180,0.000,43.100,34.100,32.000,0.370,0.330,0.160,14.900,4.000,290.000,0.100,0.130,0.600,0.040,ALA,0.000,65.000,0.000
165,17.000,94.600,0.000,0.500,1.90000000,0.00000000,1.900,0.000,2.800,0.200,0.022,0.019,0.055,0.000,1.700,0.000,10.00000000,0.000,0.800,0.600,0.021,0.020,0.250,0.040,10.000,0.000,0.200,0.000,44.000,13.000,11.000,0.200,1.500,0.110,8.000,2.000,82.000,0.008,0.065,0.400,0.010,ALA,0.000,45.000,0.000
