id,id_ingrediente,id_nutriente,valor_por_100g
332,8,24,0.00500000
333,8,25,1.00000000
334,8,26,0.00000000
335,8,27,0.00000000
336,8,28,0.00000000
337,8,29,0.00000000
338,8,30,1.00000000
339,8,31,30.00000000
340,8,32,0.50000000
341,8,33,2.50000000
342,8,34,0.30000000
343,8,35,2.00000000
344,8,36,3.00000000
345,8,37,7.00000000
346,8,38,1.00000000
347,8,39,0.05000000
348,8,40,2.80000000
349,8,41,0.00000000
350,8,42,0.00000000
351,8,43,0.00000000
352,8,44,0.00000000
353,9,1,349.00000000
354,9,2,11.90000000
355,9,3,0.00000000
356,9,4,7.60000000
357,9,5,78.00000000
358,9,6,77.90000000
359,9,7,0.12000000
360,9,8,0.00000000
361,9,9,0.00000000
362,9,10,0.70000000
363,9,11,0.20000000
364,9,12,0.22000000
365,9,13,0.19000000
366,9,14,0.00000000
367,9,15,0.00000000
368,9,16,0.00000000
369,9,17,0.00000000
370,9,18,0.00000000
371,9,19,0.11000000
372,9,20,0.00000000
373,9,21,0.14000000
374,9,22,0.02100000
375,9,23,2.60000000
376,9,24,0.44000000
377,9,25,4.00000000
378,9,26,0.00000000
379,9,27,0.00000000
380,9,28,0.00000000
381,9,29,0.00000000
382,9,30,10.00000000
383,9,31,98.00000000
384,9,32,0.35000000
385,9,33,0.00000000
386,9,34,0.80000000
387,9,35,35.00000000
388,9,36,0.00000000
389,9,37,76.00000000
390,9,38,0.00000000
391,9,39,0.00000000
392,9,40,0.00000000
393,9,41,0.01000000
394,9,42,0.00000000
395,9,43,1.00000000
396,9,44,0.00000000
397,10,1,326.00000000
398,10,2,13.40000000
399,10,3,0.00000000
400,10,4,10.00000000
401,10,5,59.70000000
402,10,6,59.70000000
403,10,7,0.00000000
404,10,8,0.00000000
405,10,9,15.00000000
406,10,10,1.90000000
407,10,11,0.24000000
408,10,12,0.20000000
409,10,13,0.85000000
410,10,14,0.00000000
411,10,15,0.00000000
412,10,16,0.00000000
413,10,17,0.00000000
414,10,18,0.00000000
415,10,19,1.50000000
416,10,20,0.00000000
417,10,21,0.30000000
418,10,22,0.20000000
419,10,23,1.60000000
420,10,24,0.30000000
421,10,25,70.00000000
422,10,26,0.00000000
423,10,27,0.00000000
424,10,28,0.00000000
425,10,29,0.00000000
426,10,30,27.00000000
427,10,31,286.00000000
428,10,32,2.60000000
429,10,33,0.00000000
430,10,34,3.00000000
431,10,35,82.00000000
432,10,36,2.00000000
433,10,37,390.00000000
434,10,38,0.00000000
435,10,39,0.00000000
436,10,40,14.40000000
437,10,41,0.04000000
438,10,42,0.00000000
439,10,43,45.00000000
440,10,44,0.00000000
441,11,1,342.00000000
442,11,2,13.20000000
443,11,3,0.00000000
444,11,4,8.30000000
445,11,5,66.30000000
446,11,6,66.30000000
447,11,7,0.00000000
448,11,8,0.00000000
449,11,9,9.40000000
450,11,10,2.80000000
451,11,11,0.35000000
452,11,12,0.88000000
453,11,13,1.40000000
454,11,14,0.00000000
455,11,15,50.00000000
456,11,16,0.00000000
457,11,17,300.00000000
458,11,18,0.00000000
459,11,19,0.00000000
460,11,20,1.00000000
461,11,21,0.44000000
462,11,22,0.13000000
463,11,23,0.82000000
464,11,24,0.06000000
465,11,25,10.00000000
466,11,26,0.00000000
467,11,27,0.55000000
468,11,28,6.60000000
469,11,29,0.00000000
470,11,30,18.00000000
471,11,31,39.00000000
472,11,32,2.40000000
473,11,33,80.00000000
474,11,34,1.60000000
475,11,35,47.00000000
476,11,36,0.70000000
477,11,37,120.00000000
478,11,38,0.46000000
479,11,39,0.13000000
480,11,40,15.40000000
481,11,41,0.03000000
482,11,42,0.00000000
483,11,43,10.00000000
484,11,44,0.00000000
485,12,1,341.00000000
486,12,2,14.00000000
487,12,3,0.00000000
488,12,4,9.90000000
489,12,5,70.60000000
490,12,6,69.90000000
491,12,7,0.70000000
492,12,8,0.00000000
493,12,9,4.30000000
494,12,10,1.20000000
495,12,11,0.16000000
496,12,12,0.13000000
497,12,13,0.51000000
498,12,14,0.00000000
499,12,15,0.17000000
500,12,16,0.00000000
501,12,17,1.00000000
502,12,18,0.00000000
503,12,19,0.34000000
504,12,20,32.70000000
505,12,21,0.11000000
506,12,22,0.03000000
507,12,23,2.30000000
